_id,aatterm,aaturi
acrylverfschilderij,acrylverfschilderingen,http://vocab.getty.edu/aat/300181918
acrylverfschildering,acrylverfschilderingen,http://vocab.getty.edu/aat/300181918
affiche,affiches,http://vocab.getty.edu/aat/300027221
afgietsel,afgietsels,http://vocab.getty.edu/aat/300047806
albast,albast,http://vocab.getty.edu/aat/300011101
alcoholstifttekening,alcoholstifttekeningen,
aquarel,aquarellen,http://vocab.getty.edu/aat/300078925
aquatint,aquatinten,http://vocab.getty.edu/aat/300041366
arduin,arduin,http://vocab.getty.edu/aat/300011386
assemblage,assemblage,http://vocab.getty.edu/aat/300047194
balpentekening,balpentekeningen,
beeldhouwkunst,beeldhouwwerken,http://vocab.getty.edu/aat/300047090
beeldhouwwerk,beeldhouwwerken,http://vocab.getty.edu/aat/300047090
beeldhouwwerken,beeldhouwwerken,http://vocab.getty.edu/aat/300047090
behangpapier,behang,http://vocab.getty.edu/aat/300037366
blauwe steen,arduin,http://vocab.getty.edu/aat/300011386
boek,boeken,http://vocab.getty.edu/aat/300028051
boeken,boeken,http://vocab.getty.edu/aat/300028051
boekillustratie,illustraties,http://vocab.getty.edu/aat/300015578
books,boeken,http://vocab.getty.edu/aat/300028051
brief,brieven,http://vocab.getty.edu/aat/300026879
brons,brons,http://vocab.getty.edu/aat/300010957
brons (beeldhouwwerk),bronzen,http://vocab.getty.edu/aat/300047333
bruineerstaal,bruineerstaal,
burijngravure,burijngravures,
burijngravure en ets,burijngravures en etsen,
buste,bustes,http://vocab.getty.edu/aat/300047457
caseïneschilderij,caseïneschilderingen,
cement,cement,http://vocab.getty.edu/aat/300010362
clair-obscur-houtsnede,clair-obscur-houtsneden,http://vocab.getty.edu/aat/300041410
collage,collages,http://vocab.getty.edu/aat/300033963
collage,collages,http://vocab.getty.edu/aat/300033963
contre-épreuve,tegenafdrukken,http://vocab.getty.edu/aat/300041321
dekverf,dekverf,http://vocab.getty.edu/aat/300015071
dichtbundel,dichtbundels,
documentatie,documentatie,http://vocab.getty.edu/aat/300026685
drawings,tekeningen,http://vocab.getty.edu/aat/300033973
droge naald,drogenaald,http://vocab.getty.edu/aat/300053228
drogenaald,drogenaald,http://vocab.getty.edu/aat/300053228
drogenaaldets,drogenaald,http://vocab.getty.edu/aat/300053228
drukwerk,drukwerk,
eikenhout,eikenhout,http://vocab.getty.edu/aat/300012264
envelop,enveloppen,http://vocab.getty.edu/aat/300197601
eremedaille,medailles,http://vocab.getty.edu/aat/300046025
erepenning,penningen,http://vocab.getty.edu/aat/300037334
ets,etsen,http://vocab.getty.edu/aat/300041365
ets en burijngravure,etsen en burijngravures,
etsplaat,etsplaten,
facsimile,facsimile's,http://vocab.getty.edu/aat/300121391
film (uitvoerende kunst),film,http://vocab.getty.edu/aat/300054141
foto,foto's,http://vocab.getty.edu/aat/300046300
fotografie,foto's,http://vocab.getty.edu/aat/300046300
fotogravure,fotogravures,http://vocab.getty.edu/aat/300154358
fotolithografie,fotolithografieën,http://vocab.getty.edu/aat/300154386
fresco,fresco's,http://vocab.getty.edu/aat/300177433
furniture,meubilair,http://vocab.getty.edu/aat/300037680
gedicht,gedichten,http://vocab.getty.edu/aat/300026451
gemengde techniek,gemengde techniek,http://vocab.getty.edu/aat/300179099
gessoschildering,tekstschilderingen,
gips,gips,http://vocab.getty.edu/aat/300011099
glaspotloodtekening,glaspotloodtekeningen,
glasramen,glasramen,
